,index,country,camp_name,sample,coefficient_variation_ndvi,daytime_maximum_temperature,evi_change,flow_accumulation,friction,interannual_coefficient_variation_precipitation,pdsi,population,precipitation,seasonal_precipitation_max,slope,specific_humidity,ssm,susm,temperature_anomaly,longitude,latitude,exposure,rank,percentile,min_exposure,max_exposure,min_rank,min_percentile,max_rank,max_percentile
1862,00000000000000000117,South Sudan,,sample_camp,0.4654953491233936,0.5456688868866677,0.29677671755871293,0.001881341975830247,0.2552319391140517,0.2128152154829298,0.11330330074191794,0.01637499976317337,0.36943319712121975,0.5912467643437195,0.0433596419641979,0.7898542987403243,0.464675158605738,0.4976751685252715,0.5308300566045888,29.81453533102721,5.4518501998631415,0.3562090728710169,572.0,0.4307078763708873,0.31284455028408614,0.39164184596053553,543.0,0.4596211365902293,572.0,0.4307078763708873
1863,0000000000000000012f,South Sudan,,sample_camp,0.29179549176966096,0.6066656018803299,0.43608628044332987,3.915628376769606e-05,0.25987982793603764,0.19265039517978125,0.13577675067986264,0.013235790027790892,0.2520610635877246,0.5560887763361689,0.044772553214968806,0.8623891546254205,0.6288357471030487,0.7320545301814885,0.5308300566045888,27.883849636271464,5.6133015774233,0.36999900758469995,474.0,0.5284147557328016,0.32075999288062795,0.4069949927147932,487.0,0.5154536390827518,473.0,0.5294117647058824
1864,0000000000000000013c,South Sudan,,sample_camp,0.2804996513180413,0.5847346542379204,0.3491900387046327,0.0014527285068719601,0.2597846858713525,0.15341333768418083,0.13703585098407411,0.02337790514851618,0.24210612980039867,0.7611899903265098,0.05969580061583863,0.8740811566228314,0.6701046393090778,0.7666177293795264,0.5308300566045888,27.996134431647604,5.419993632291181,0.3885844573239678,358.0,0.6440677966101694,0.34003478739408133,0.42729763020567735,381.0,0.6211365902293121,359.0,0.6430707876370887
1865,0000000000000000016b,South Sudan,,sample_camp,0.12859925048028586,0.5659455863654353,0.33004858973114065,5.230792767752963e-05,0.2627144311797258,0.15066356914595555,0.15736080367830904,0.02337795178810115,0.16526377604781492,0.6215860896218798,0.06015182290942401,0.8554322785579952,0.5692537694380473,0.710014785213191,0.5308300566045888,27.7297370613471,5.359896819630165,0.35811404467971397,556.0,0.44666001994017945,0.3083822212918858,0.3939202183549176,583.0,0.419740777666999,553.0,0.44965104685942175
1866,00000000000000000171,South Sudan,,sample_camp,0.27778935707628855,0.5993387056482284,0.4809868585263063,0.0006748174889360381,0.27023696979862033,0.22977047913061638,0.10724538908844596,0.007524149869063714,0.12772063595871824,0.42583589874324274,0.07008482256143382,0.7136838794221153,0.46364586140007,0.5838784723710839,0.5308300566045888,27.52457020938034,6.101398130492224,0.32173341053136506,847.0,0.15653040877367896,0.28253836364229007,0.353839269835608,826.0,0.17746759720837488,845.0,0.1585244267198405
1867,0000000000000000017a,South Sudan,,sample_camp,0.4679224403422637,0.5456688868866677,0.2988945373235402,0.00017330882612808573,0.254470933003168,0.24354056832282758,0.1276737197647625,0.01574124548712688,0.3850956648510641,0.5956207076543789,0.04167719180627356,0.7773243634118429,0.42592671156620715,0.4415376685918922,0.5308300566045888,29.90028944992892,5.418135377820608,0.3570911011543554,565.0,0.43768693918245266,0.31506777492860666,0.3927828803871781,526.0,0.4765702891326022,562.0,0.4406779661016949
1868,00000000000000000199,South Sudan,,sample_camp,0.38937760051921727,0.6142374765276994,0.3815952134256934,0.0030536652254407157,0.24932952498809666,0.296346358769901,0.08354720896879936,0.007193208684867457,0.23110639832564336,0.41212065568160927,0.05521122342635377,0.7414029359247387,0.46138538760494435,0.5272355341171386,0.5308300566045888,27.7806817229203,6.179990628518353,0.33441553564071047,764.0,0.23928215353938184,0.2937167956123077,0.36755172268223746,734.0,0.2691924227318046,767.0,0.23629112662013957
1869,0000000000000000019b,South Sudan,,sample_camp,0.1715746271248296,0.5458457185681687,0.39368029862276754,0.0003365246649529698,0.2579039927092955,0.0850619074061322,0.09317615373320311,0.013120487305419148,0.39992097895020023,0.6700831110666452,0.04933514651357319,0.8129071904538595,0.4585246499010757,0.6397851476874427,0.5308300566045888,29.05167081098632,5.318559828598526,0.35490231187015414,581.0,0.4217347956131605,0.3091018240117836,0.3903588905906742,575.0,0.42771684945164506,581.0,0.4217347956131605
1870,000000000000000001a5,South Sudan,,sample_camp,0.38036630553512746,0.6062968919726837,0.3568178449430522,0.2273864416731143,0.2559002704773865,0.22695699676376338,0.12598262950022493,0.013235662119851669,0.13512934208893623,0.44771348891798957,0.056452295905864314,0.8021586420721009,0.4575946260634699,0.57031570720048,0.5308300566045888,27.70648352933209,5.949597265450279,0.352036516549102,611.0,0.3918245264207378,0.30702430399680214,0.38159493861342575,599.0,0.4037886340977069,657.0,0.3459621136590229
1871,000000000000000001a6,South Sudan,,sample_camp,0.270025725765671,0.5443468595535421,0.2643851005354024,0.001528822695946564,0.25420220458304993,0.052074652757245606,0.12310470284052831,0.036523221516171475,0.3625599099457789,0.6531863974657487,0.05584283714840372,0.9116532938691903,0.4681867995070863,0.6249629111624407,0.5308300566045888,28.625874682444017,5.065739103915908,0.3597742306337372,544.0,0.45862412761714855,0.3045863243101919,0.3955987714275163,616.0,0.386839481555334,541.0,0.46161515453639085
1872,000000000000000001be,South Sudan,,sample_camp,0.10720305182672471,0.5771084371166892,0.3253059835156571,0.0010178163260145651,0.25813632315883045,0.07259913972408935,0.12246633537829021,0.0233781412204728,0.22512533834463347,0.6399929279888606,0.07262283451195785,0.9065518343827064,0.46766514294708755,0.6699330695400315,0.5308300566045888,28.085666628034645,5.108906572587514,0.35219238058943164,610.0,0.39282153539381853,0.2967564352101042,0.3873098370157734,707.0,0.29611166500498504,607.0,0.39581256231306083
